,name,lat,lon,potential_ha,static_total_ha,static_water_ha,static_weed_ha,buffer_total_ha,buffer_water_ha,buffer_weed_ha,in_build_ha,out_build_ha,in_green_ha,out_green_ha,encroachment_pct
55,Gowdana Kere,12.907623040353732,77.55623715379377,2.4786310116218124,1.1854016790621889,0.18077034262812997,1.0078608438803478,1.7550821247165656,0.187381349574569,1.5709302825882852,0.5816475848034628,1.8052377650606246,0.8209671442926944,0.6984304680314405,23.466485413772034
27,Carmelaram Lake,12.91761871849594,77.71071170283464,2.088082682677624,0.6876124558637033,0.11141377271016435,0.576198683153539,1.1207754447986877,0.11423791316063574,1.0065375316380518,0.4748587714590435,0.4287999854318456,0.9793083884434917,2.4656361701566407,22.741377791137793
100,Lalbagh Tank,12.946100391651871,77.58337938025863,12.405273321608002,10.436331146352433,9.418763209484824,1.1912516668247406,16.62676211994196,9.677395598475139,7.180242098757678,2.8169363838140953,0.22765294203166084,1.3431874157006762,9.164420749162165,22.70757210086974
25,Byrasandra Lake,12.97845422714567,77.66201300911695,2.8316113574517936,1.8461799891522972,1.2686629821114137,0.8349200282272639,3.8397934272182694,1.372674973126081,2.7415508267575937,0.6149125887752359,1.161726163575914,0.6248194306935827,2.398987991241256,21.715995281520705
98,Lakshmipura Lake,13.085595123900896,77.53040958036848,2.714729585903392,1.228236775871227,0.11618131879170733,1.1120554570795196,1.696233501594394,0.14684013417561845,1.5493933674187754,0.5890817568356382,1.5124117882906838,1.4508032135757745,1.1039764749160466,21.69946354489694
47,Doddathogur Lake,12.85746345629954,77.65968275948435,5.501957242000803,3.480888566099678,1.9108682823420509,1.6007826955139561,6.871510454495499,2.6094410481641184,4.315366886342367,1.1451511656413362,2.82530137369991,1.776938374151093,3.219745316270815,20.81352353848716
107,Mathikere Lake,13.034928880246378,77.5507698260525,4.307804776728011,2.4882617045074653,1.2984811504902558,1.2483129861599789,7.448728404840707,1.364450644873326,6.152063501519097,0.894462367280449,0.8300522335097368,1.4201206142669873,9.00083775774588,20.7637628360642
85,Kasavanahalli Lake,12.904417839227897,77.66763416782703,13.04400757321826,12.185462712183442,10.355023122274362,2.0931424827585645,17.048168275926876,10.563506629945342,6.768863224757575,2.618187688600129,0.44138860644321815,1.8311296524646226,7.6918886224814,20.07195774691015
130,Sarakki Kere,12.899023783834648,77.57894493153546,21.344024169523966,18.256094326431178,16.46087535188214,2.284651353661531,20.44159538087683,16.69693035524356,4.245255444003834,4.251673970051185,4.614401251113494,1.5994764586190608,2.874065051294963,19.919739296968807
54,Gottigere Tank,12.852978396088687,77.59026096996043,12.004251310873594,5.0614675387618115,1.9528207344932802,3.7046192063325374,7.08264570555394,1.9575013224283853,5.721116785189561,2.335469988254223,3.011928449919458,2.5234093529994195,3.4337356885523573,19.45535733776855
135,Shivapura Old Lake,13.026819980150336,77.50471602919691,1.5449986989099835,0.7024643009599673,0.1621977192663056,0.5402665816936617,1.4303602244757359,0.18076828575134274,1.249591938724393,0.2964256363937278,0.7942341825861714,0.6635446768253299,1.206539722978679,19.18614149014235
3,Akshaynagar Lake,12.871746433650207,77.6142692467821,1.1875241815095785,0.8652119366086074,0.40434078216652464,0.4673310824460298,2.402743871165755,0.41643731610915236,1.99276648306055,0.22626844174553362,0.26267129083371626,0.5258186742535759,2.176430482176238,19.053796568411904
37,Chunchagatta Lake,12.88777293723124,77.57546127645824,6.474151125320735,3.9153527345964023,2.819509515423744,1.1168366854863385,4.9581347233342195,2.848976199962641,2.1301519896852583,1.2256342144555983,3.3298947566527324,1.512514510639166,1.3102699819791706,18.931195622883752
