name,impervious_fraction,max_3day_rain_mm,peak_30min_intensity_mm,year,lat,lon,potential_ha,static_total_ha,static_water_ha,static_weed_ha,buffer_total_ha,buffer_water_ha,buffer_weed_ha,in_build_ha,out_build_ha,in_green_ha,out_green_ha,flow_accumulation_km2,flow_direction_code,encroachment_pct,sar_flood_freq_pct
Shivapura Old Lake,0.9996806436259232,76.2749980604276,6.420000076293945,2024,13.026819980150336,77.50471602919691,1.5449986989099835,0.019367992401123,0.0,0.019367992401123,0.1533491781167423,0.0,0.1533491781167423,0.5645584143844306,1.5159080371482705,0.0359258523499732,0.2252770926621381,0.0333283133804798,8,19.18614149014235,9.609613177242728
Shivapura Old Lake,0.909167677450062,97.92499818746,6.605000019073486,2025,13.026819980150336,77.50471602919691,1.5449986989099835,1.0176189272413068,0.9731863155978336,0.0444326116434733,1.534403873389749,1.016821443939209,0.51758242945054,0.3256107000822179,0.9551849234906368,0.0567750164705164,0.9665790793295466,0.0333283133804798,8,19.18614149014235,9.609613177242728
Singapura Kere,0.4764654418197723,79.80999792739749,9.220000267028809,2020,13.082462806971574,77.53518207283888,8.072643583628338,4.888138893929278,1.965424493408203,3.058260910836014,6.185854757133933,1.965424493408203,4.355976774040672,0.1269284207721785,2.2210262660576334,3.687391484728044,2.239706725891711,2.299147367477417,8,7.79073373990565,21.323335206241783
Singapura Kere,0.4983315682030971,58.779998514801264,8.269999504089355,2021,13.082462806971574,77.53518207283888,8.072643583628338,4.688198538914101,0.7164600883483887,3.991102223911661,6.673481213025859,0.7164600883483887,5.976384898023419,0.0824669254198261,1.4203915242004392,5.030670770395316,3.6276363813362886,2.299147367477417,8,7.79073373990565,21.323335206241783
Singapura Kere,0.4007244708446529,117.69999729841948,9.09000015258789,2022,13.082462806971574,77.53518207283888,8.072643583628338,4.926565406667671,0.0,4.926565406667671,7.419217741331212,0.0,7.419217741331212,0.0,1.3118376461672314,5.675864753860772,4.113400385490869,2.299147367477417,8,7.79073373990565,21.323335206241783
Singapura Kere,0.6030298844223418,58.109998618252575,4.605000019073486,2023,13.082462806971574,77.53518207283888,8.072643583628338,0.7420498822919059,0.0,0.7420498822919059,1.6189645182740455,0.0,1.6189645182740455,0.1068044785802504,1.184570047197529,2.727063879173129,3.02652202403349,2.299147367477417,8,7.79073373990565,21.323335206241783
Singapura Kere,0.5034550505748182,76.2749980604276,6.420000076293945,2024,13.082462806971574,77.53518207283888,8.072643583628338,5.347511840150122,0.6099589653015137,4.785962324616675,5.956483220104143,0.6099589653015137,5.394933704570696,0.384123619887408,2.3602161020705275,3.120298568584966,0.6767829336458094,2.299147367477417,8,7.79073373990565,21.323335206241783
Singapura Kere,0.4042884990253406,97.92499818746,6.605000019073486,2025,13.082462806971574,77.53518207283888,8.072643583628338,5.4366642052205405,5.392431376190185,0.0539146878560384,6.285405910348331,5.431538745880127,0.8635490232938878,3.073185559572706,2.8105957034002573,0.08193532252293,1.105786389124253,2.299147367477417,8,7.79073373990565,21.323335206241783
Singasandra Lake,0.8613338494718796,66.52499807905406,6.309999942779541,2020,12.882218148493388,77.64546471624104,2.0081188734436033,1.6108878290333466,1.122006086222331,0.488881742811016,2.58185204401652,1.1433609756469727,1.438491068369547,0.6181516377377977,1.6725196875089758,0.5307174897825951,1.184664280682732,0.9920964241027832,32,12.914080936868311,11.438996080308534
Singasandra Lake,0.8605504248926248,78.96499759331346,5.670000076293945,2021,12.882218148493388,77.64546471624104,2.0081188734436033,1.6599432432556158,1.112354545733882,0.5845227786733588,2.9399442619383573,1.1433609016418458,1.845030870062136,0.4825367953999837,1.3573269651375566,0.6411398095014982,1.5121306768918512,0.9920964241027832,32,12.914080936868311,11.438996080308534
Singasandra Lake,0.8589835757341149,111.43999750632791,8.09999942779541,2022,12.882218148493388,77.64546471624104,2.0081188734436033,1.9712228172780952,1.3915258529244217,0.7216955420819451,3.178685691860424,1.4243560874938963,1.909361531093822,0.0484474754333496,1.5338652372801538,0.5357713985368318,1.3733242290063004,0.9920964241027832,32,12.914080936868311,11.438996080308534
Singasandra Lake,0.8605504248926248,63.59999836515635,4.654999732971191,2023,12.882218148493388,77.64546471624104,2.0081188734436033,2.000443291216083,1.4635321509237849,2.000443291216083,3.184385219448314,1.5980827351050284,3.078485206053491,0.0,1.4032662348788394,1.886677156297272,1.2903357654915604,0.9920964241027832,32,12.914080936868311,11.438996080308534
Singasandra Lake,0.8542830282585854,96.47499763779342,7.039999961853027,2024,12.882218148493388,77.64546471624104,2.0081188734436033,1.6475557514833938,1.1220439127275057,0.5545423228903376,2.844151375657624,1.4328676903638653,1.6147634948640712,0.3390182460081811,1.6523811438706344,0.3407276767356723,0.9985496542837105,0.9920964241027832,32,12.914080936868311,11.438996080308534
Singasandra Lake,0.8519327545208206,99.87499761022627,8.489999771118164,2025,12.882218148493388,77.64546471624104,2.0081188734436033,1.6558013571795294,1.093013424766391,0.5900324917752133,2.8401237268934065,1.2584564301404768,1.630114803466797,0.0678264251708984,1.2888164982156194,0.6614686822120814,1.3433818646300075,0.9920964241027832,32,12.914080936868311,11.438996080308534
Somasundarapalya Lake,0.7402225540255738,66.9081183197824,6.341073804239582,2020,12.898483924287731,77.64804602911603,2.4274632010785275,1.369246997770421,1.332087234808229,0.0371597629621917,1.4746468939538095,1.3661311981201172,0.1085156958336923,1.1256947868676277,2.158490763792151,0.0952931522444182,0.2285823605496275,0.4751774072647095,64,39.398105126106934,24.208266066935987
Somasundarapalya Lake,0.6952140438840659,78.38166497068742,5.66627864173373,2021,12.898483924287731,77.64804602911603,2.4274632010785275,1.618042465209961,1.6083535560607911,0.0096889091491699,1.861518009443096,1.6083535560607911,0.253164453382305,1.7107515258100932,1.750874392514696,0.0096889091491699,0.343100274735993,0.4751774072647095,64,39.398105126106934,24.208266066935987
Somasundarapalya Lake,0.6889343582370187,110.9294186304738,8.111535846539896,2022,12.898483924287731,77.64804602911603,2.4274632010785275,1.918284272063012,1.8989064575793697,0.0193778144836425,2.2073167025786757,1.9183981956481932,0.2889185069304821,0.9914573461584943,1.7108650205544862,0.0193778144836425,0.3620978197942995,0.4751774072647095,64,39.398105126106934,24.208266066935987
Somasundarapalya Lake,0.7389322076597422,63.853427074643385,4.724776364798502,2023,12.898483924287731,77.64804602911603,2.4274632010785275,2.058564234735826,2.009891805608413,0.0486724291274126,2.4112009186778347,2.0637315383911132,0.3474693802867216,0.3380085447992062,1.799205866498761,0.0329422851083792,0.3615276272822361,0.4751774072647095,64,39.398105126106934,24.208266066935987
