elevation,id,name,slope
909.1555395597142,22,Avalahalli Lake,2.909945798448664
903.6791836734692,118,B Channasandra Lake,2.9101172870519205
889.2330268412745,33,Kundalahalli Lake,2.954542023112894
871.0426731078909,153,Seegehalli Lake,2.95537866748527
889.5089547708183,132,Ambalipura Upper Lake,2.957778648231045
841.8214853057984,37,Lingadeeranahalli Lake,2.9789503718222585
896.3908393430357,101,Kogilu Lake,2.99850637104603
886.1992133131619,121,Kowdenahalli Lake,3.0036184275384747
810.8127694518577,18,Nayandahalli Lake,3.0355926083174833
881.9908876636224,117,Kaikondrahalli Lake,3.0514823421544266
789.1940553224771,137,Kengeri Lake,3.058261206470392
837.6870102364983,116,Ullal Lake,3.0586967081136605
890.352050256013,90,Singapura Kere,3.062187232732065
912.3339457969686,119,Chandrasekhar Layout Lake,3.070419599963922
881.3429900515844,81,Mahadevapura Lake,3.0716918238912907
869.4414543960561,82,ISRO Layout Lake,3.1431858189153012
795.9218249430864,60,Vrishabhavati,3.1711576600538565
905.2588398240181,108,Parappana Agrahara Lake,3.20773066307136
934.326123438374,0,Chikkabettahalli Lake,3.2814808749072304
918.8143858226675,48,Gottigere Tank,3.28308684649365
893.4952974300604,66,Doddakalasandra Lake,3.2841946036400156
845.9686643164904,53,Nagarbhavi Lake,3.2860293282605237
841.2458292443573,79,Bheemanakatte Lake,3.305591814007913
880.1998364231193,27,Basavanapura Kere,3.3247888271741903
873.2891819840044,39,Gowdana Kere,3.345436897320652
908.4160410049091,24,Doddkammanahalli Lake,3.36772294829183
884.6267251386561,71,Chinnappanahalli Lake,3.410680305991622
895.0496092783138,151,Chikka Beguru Lake,3.4223287987205757
925.961314672118,4,Krishna Nagara Lake,3.4368243944037538
878.0251825220362,104,Gunjuru Lake,3.521651990124142
899.2138634221575,143,Byrasandra Melina Kere,3.530106849718825
875.1956367506207,21,Gubbalala Kere,3.543948557443254
877.1656988188978,160,Kempambudhi Kere,3.558178941125242
813.6789089927087,122,Sunkalpalya Lake,3.581230238285252
888.6843168050259,19,Yelachenahalli Kere,3.624048988929318
878.0900541119921,113,Chikka Bellanduru Lake,3.647046525729009
896.481706259754,26,Nagaraesh Nagenahalli Lake,3.6551154559729775
884.1523325149072,115,Abbigere Lake,3.6862885243931993
896.9938996836876,52,Horamavu Lake,3.7283720172327826
887.3434898434899,41,Carmelaram Lake,3.8385254109139995
891.7467467467466,99,Kadiranpalaya Kere,3.843014683387453
907.9020993343573,67,Puttenhalli Lake,3.8453513041314147
909.0052083333334,103,Veerasagara Lake,3.9170570227121098
835.3923717059638,83,Nagarbhavi Thorai,3.9338323794067636
873.0312965722802,30,Thubarahalli Lake,3.9548521770776013
924.5078523353051,32,Palace Grounds Lake,4.032460564876997
874.520770519263,3,Panathuru Kere,4.0633173285017845
881.1824337585869,124,Pattandur Agrahara Kunte,4.084376455482253
888.6946708463951,34,Thippasandra Lake,4.097905339267934
882.1166163586836,94,Vengayyana Lake,4.134336110825844
788.7210661100848,131,Chudahalli Lake,4.150254678433923
881.005092547253,73,Andrahalli Lake,4.190578791387938
917.3049303322618,156,Lotus Pond,4.280602647816126
804.1081871345028,158,Kenchanahalli Lake,4.293792784911151
865.7349397590361,58,Thalaghattapura Lake,4.420746736100503
881.7729030221731,141,Hoodi Lake,4.430866409757186
912.7240681883849,11,Yelenahalli Lake,4.483802631734184
876.1785700993711,28,Nallurahalli Lake,4.560073854968146
800.2499450186936,68,Mylasandra Tank,4.5614390658406805
885.4799385678633,150,Vasanthapura Lake,4.582007176634859
878.7801884551427,102,Munekolala Lake,4.6102716230102025
880.5854774156661,36,Srigandakaval Lake,4.7190111284599485
884.2025175109127,55,Devasandra lake,4.768861220344264
892.1544511668109,157,Seetharampalya Lake,4.7938316171294995
900.6728277556032,35,Thirumenahalli Lake,4.896404119986568
888.7782751207134,135,Herohalli Kere,4.944878517220106
899.1378223495702,16,Somasundarapalya Lake,5.139789316100856
931.1602957086188,149,BEL Lake,5.299270026109041
849.2113921643211,62,Subramanyapura Lake,5.512142123033129
802.8839418397976,85,Hosakere,5.677267302053124
885.100820414469,46,Kasavanahalli Lake,5.77832867998427
891.2202624033364,106,Nagawara Lake,5.814828160847184
807.2564429701455,72,Dubasi Palya Kere,5.9603313310389465
908.3079402023096,92,Yediyur Lake,6.219562022392115
899.1071312276133,10,Agrahara Lake,6.38326612663692
861.9764007505177,127,Anchepalya Lake,6.541859830966831
906.5693919278496,40,Lalbagh Tank,6.556610022162677
841.2778962872668,76,Mallathahalli Lake,6.700812944136092
914.5038668853996,5,Kalena Agrahara lake,7.472709930219665
930.3279826101495,9,Sankey Tank,8.491082222579372
858.727028290858,142,Dore Kere,8.597466679654742
900.1684737281068,17,Benniganahalli Lake,9.410261128086677
